day	hour	value
6	24	3
2	24	3
7	24	5
1	24	2
5	24	2
3	24	4
6	1	5
2	1	2
7	1	2
1	1	2
5	1	4
3	1	4
4	1	3
6	2	2
2	2	6
7	2	2
1	2	1
5	2	2
3	2	6
4	2	3
6	3	4
7	3	1
3	3	4
4	3	1
6	4	1
2	4	3
7	4	1
3	4	2
6	5	3
2	5	5
7	5	2
1	5	1
5	5	2
3	5	1
4	5	4
6	6	3
2	6	17
7	6	4
1	6	2
5	6	3
3	6	1
4	6	7
6	7	5
2	7	6
7	7	1
1	7	3
5	7	4
3	7	7
4	7	6
6	8	18
2	8	7
7	8	7
5	8	15
3	8	8
4	8	5
6	9	8
2	9	10
7	9	4
5	9	7
3	9	12
4	9	6
6	10	18
2	10	14
7	10	7
1	10	2
5	10	9
3	10	12
4	10	10
6	11	10
2	11	10
7	11	6
1	11	3
5	11	12
3	11	12
4	11	10
6	12	17
2	12	7
7	12	4
1	12	4
5	12	9
3	12	11
4	12	12
6	13	13
2	13	16
7	13	8
5	13	14
3	13	17
4	13	8
6	14	12
2	14	18
7	14	9
1	14	1
5	14	12
3	14	13
4	14	14
6	15	5
2	15	42
7	15	2
1	15	4
5	15	7
3	15	7
4	15	11
6	16	6
2	16	13
7	16	4
5	16	7
3	16	9
4	16	8
6	17	5
2	17	1
7	17	5
1	17	13
5	17	5
3	17	2
4	17	5
6	18	1
2	18	5
7	18	4
5	18	7
3	18	3
4	18	8
6	19	4
2	19	5
1	19	3
5	19	2
3	19	4
4	19	3
6	20	7
2	20	6
7	20	3
1	20	2
5	20	3
3	20	4
4	20	9
6	21	5
2	21	3
7	21	2
1	21	2
5	21	7
3	21	2
4	21	4
2	22	5
7	22	2
1	22	1
5	22	4
3	22	2
4	22	5
6	23	1
2	23	5
7	23	3
1	23	3
5	23	5
3	23	5
4	23	4
